t,Room_1 (00 : 2f46d),Room_2 (00 : 47ea3),Room_3 (00 : 70250),Outside,Выход (00 : f8032) 2f46d<->,Проем (00 : df697) 2f46d<->47ea3,Дверь (00 : ff637) 47ea3<->70250,
0.00,71.25,6.36,3.31,0.00,0.00,0.00,0.00,
0.01,70.90,5.76,3.06,1.20,1.20,0.85,0.25,
0.02,75.46,3.06,0.00,2.40,1.20,5.76,3.06,
0.03,77.27,0.00,0.00,3.65,1.25,3.06,0.00,
0.04,76.01,0.00,0.00,4.91,1.26,0.00,0.00,
0.05,74.76,0.00,0.00,6.16,1.25,0.00,0.00,
0.06,73.52,0.00,0.00,7.40,1.24,0.00,0.00,
0.07,72.29,0.00,0.00,8.63,1.23,0.00,0.00,
0.08,71.08,0.00,0.00,9.84,1.21,0.00,0.00,
0.09,69.88,0.00,0.00,11.04,1.20,0.00,0.00,
0.10,68.69,0.00,0.00,12.23,1.19,0.00,0.00,
0.11,67.52,0.00,0.00,13.40,1.17,0.00,0.00,
0.12,66.35,0.00,0.00,14.56,1.16,0.00,0.00,
0.13,65.20,0.00,0.00,15.71,1.15,0.00,0.00,
0.14,64.07,0.00,0.00,16.85,1.14,0.00,0.00,
0.15,62.95,0.00,0.00,17.97,1.12,0.00,0.00,
0.16,61.84,0.00,0.00,19.08,1.11,0.00,0.00,
0.17,60.74,0.00,0.00,20.18,1.10,0.00,0.00,
0.18,59.65,0.00,0.00,21.27,1.08,0.00,0.00,
0.19,58.58,0.00,0.00,22.34,1.07,0.00,0.00,
0.20,57.52,0.00,0.00,23.40,1.06,0.00,0.00,
0.21,56.47,0.00,0.00,24.44,1.05,0.00,0.00,
0.22,55.44,0.00,0.00,25.48,1.03,0.00,0.00,
0.23,54.42,0.00,0.00,26.50,1.02,0.00,0.00,
0.24,53.41,0.00,0.00,27.51,1.01,0.00,0.00,
0.25,52.41,0.00,0.00,28.51,1.00,0.00,0.00,
0.26,51.43,0.00,0.00,29.49,0.98,0.00,0.00,
0.27,50.46,0.00,0.00,30.46,0.97,0.00,0.00,
0.28,49.50,0.00,0.00,31.42,0.96,0.00,0.00,
0.29,48.55,0.00,0.00,32.37,0.95,0.00,0.00,
0.30,47.61,0.00,0.00,33.30,0.93,0.00,0.00,
0.31,46.69,0.00,0.00,34.23,0.92,0.00,0.00,
