t,Room_1 (00 : 2f46d),Room_2 (00 : 47ea3),Room_3 (00 : 70250),Лестничная площадка (00 : fe0d9),Room_4 (01 : 7709a),Room_5 (01 : 79c92),Room_6 (01 : cde76),Лестничная площадка (01 : 8a760),Outside,Выход (00 : f8032) 2f46d<->,Проем (00 : df697) 2f46d<->47ea3,Дверь (00 : ff637) 47ea3<->70250,Дверь (00 : b32c0) 70250<->fe0d9,Межэтажный проем (00 : 1d0d5) fe0d9<->8a760,Проем (01 : 1c49e) 7709a<->79c92,Дверь (01 : 30345) 79c92<->cde76,Дверь (01 : 2bca9) cde76<->8a760,
0.00,71.25,6.36,3.31,3.39,7.12,6.36,3.31,3.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.01,70.90,5.76,6.44,3.39,6.27,6.97,3.28,0.27,1.20,1.20,0.85,0.25,3.39,3.39,0.85,0.25,0.27,
0.02,75.46,0.49,9.34,0.27,0.00,12.97,0.27,3.28,2.40,1.20,5.76,0.49,3.39,0.27,6.27,0.27,3.28,
0.03,74.70,0.71,8.91,3.28,0.00,12.46,0.51,0.27,3.65,1.25,0.49,0.71,0.27,3.28,0.00,0.51,0.27,
0.04,74.17,0.67,11.52,0.27,0.00,11.97,0.49,0.51,4.88,1.24,0.71,0.67,3.28,0.27,0.00,0.49,0.51,
0.05,73.61,0.87,10.92,0.51,0.00,11.50,0.47,0.49,6.12,1.23,0.67,0.87,0.27,0.51,0.00,0.47,0.49,
0.06,73.25,0.82,10.61,0.49,0.00,11.05,0.45,0.47,7.34,1.23,0.87,0.82,0.51,0.49,0.00,0.45,0.47,
0.07,72.85,0.80,10.29,0.47,0.00,10.62,0.43,0.45,8.57,1.22,0.82,0.80,0.49,0.47,0.00,0.43,0.45,
0.08,72.44,0.78,9.99,0.45,0.00,10.20,0.42,0.43,9.79,1.22,0.80,0.78,0.47,0.45,0.00,0.42,0.43,
0.09,72.00,0.75,9.68,0.43,0.00,9.80,0.40,0.42,11.00,1.21,0.78,0.75,0.45,0.43,0.00,0.40,0.42,
